THEFT/LARCENY,5/19/2013 12:00 PM,36.167776,-86.795233,900_BLOCK_MORRISON_ST_Nashville_TN_USA
ASSAULT,5/19/2013 01:30 PM,36.153594,-86.776056,600_BLOCK_LAFAYETTE_ST_Nashville_TN_USA
ASSAULT,5/19/2013 02:00 PM,36.159272,-86.842698,4600_BLOCK_MICHIGAN_AVE_Nashville_TN_USA
ASSAULT,5/19/2013 02:00 PM,36.1682838,-86.794459,900_BLOCK_11TH_AVE_N_Nashville_TN_USA
VANDALISM,5/19/2013 02:30 PM,36.1605449,-86.8240794,900_BLOCK_32ND_AVE_N_Nashville_TN_USA
THEFT/LARCENY,5/19/2013 04:00 PM,36.169268,-86.7578779,500_BLOCK_S_7TH_ST_Nashville_TN_USA
ASSAULT,5/19/2013 06:00 PM,36.1672424,-86.7596832,S_6TH_ST_AND_SYLVAN_ST_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/19/2013 06:30 PM,36.1627868,-86.753888,1000_BLOCK_DAVIDSON_ST_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/19/2013 06:45 PM,36.1652756,-86.8049777,1800_BLOCK_MORENA_ST_Nashville_TN_USA
MOTOR VEHICLE THEFT,5/19/2013 07:00 PM,36.1605319,-86.8018492,DR_D_B_TODD_JR_BLVD_AND_JO_JOHNSTON_AVE_Nashville_TN_USA
THEFT/LARCENY,5/19/2013 07:30 PM,36.1591044,-86.7880067,200_BLOCK_11TH_AVE_N_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/19/2013 09:10 PM,36.1629025,-86.7768657,3RD_AVE_N_AND_COMMERCE_ST_Nashville_TN_USA
ASSAULT,5/19/2013 09:20 PM,36.1673253,-86.8014862,1600_BLOCK_JACKSON_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/19/2013 10:40 PM,36.1538265,-86.7560911,FAIRFIELD_AVE_AND_HERMITAGE_AVE_Nashville_TN_USA
ASSAULT,5/19/2013 11:00 PM,36.157282,-86.786865,1100_BLOCK_BROADWAY_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/19/2013 11:00 PM,36.1517354,-86.7802609,600_BLOCK_9TH_AVE_S_Nashville_TN_USA
VANDALISM,5/19/2013 11:50 PM,36.170367,-86.753919,900_BLOCK_SHELBY_AVE_Nashville_TN_USA
DISTURBING THE PEACE,5/20/2013 12:00 AM,36.166663,-86.781656,400_BLOCK_CHARLOTTE_AVE_Nashville_TN_USA
DUI,5/20/2013 12:00 AM,36.1624837,-86.7505572,DAVIDSON_ST_Nashville_TN_USA
DUI,5/20/2013 12:00 AM,36.1733928,-86.7638741,MAIN_ST_AND_YEAMAN_PL_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/20/2013 12:01 AM,36.180713,-86.81978,2600_BLOCK_BUCHANAN_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/20/2013 01:04 AM,36.1788823,-86.7951018,HUME_ST_AND_ROSA_L_PARKS_BLVD_Nashville_TN_USA
ASSAULT,5/20/2013 01:25 AM,36.170367,-86.753919,900_BLOCK_SHELBY_AVE_Nashville_TN_USA
ASSAULT,5/20/2013 02:00 AM,36.1783642,-86.7483227,N_12TH_ST_AND_FORREST_AVE_Nashville_TN_USA
SEX CRIMES,5/20/2013 02:30 AM,36.167618,-86.7791405,200_BLOCK_JAMES_ROBERTSON_PKWY_Nashville_TN_USA
VANDALISM,5/20/2013 02:45 AM,36.1656292,-86.8004422,1600_BLOCK_HERMAN_ST_Nashville_TN_USA
ASSAULT,5/20/2013 03:17 AM,36.1506913,-86.7679246,2ND_AVE_S_AND_LAFAYETTE_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/20/2013 03:25 AM,36.1559889,-86.7888371,13TH_AVE_S_AND_BROADWAY_Nashville_TN_USA
ROBBERY,5/20/2013 03:30 AM,36.1518725,-86.7635446,00_BLOCK_UNIVERSITY_CT_Nashville_TN_USA
BURGLARY,5/20/2013 05:30 AM,36.1672484,-86.7989377,1400_BLOCK_IRELAND_ST_Nashville_TN_USA
FRAUD,5/20/2013 08:00 AM,36.1548062,-86.7818314,300_BLOCK_10TH_AVE_S_Nashville_TN_USA
VEHICLE BREAK-IN/THEFT,5/20/2013 08:00 AM,36.158936,-86.740259,1000_BLOCK_VISCO_DR_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/20/2013 08:05 AM,36.1650738,-86.7837415,600_BLOCK_CHARLOTTE_AVE_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/20/2013 10:41 AM,36.167618,-86.7791405,200_BLOCK_JAMES_ROBERTSON_PKWY_Nashville_TN_USA
ASSAULT,5/20/2013 11:00 AM,36.169685,-86.807065,1800_BLOCK_JEFFERSON_ST_Nashville_TN_USA
THEFT/LARCENY,5/20/2013 11:00 AM,36.172561,-86.795122,1000_BLOCK_JEFFERSON_ST_Nashville_TN_USA
WEAPONS,5/20/2013 12:29 PM,36.160801,-86.8122,2400_BLOCK_BOOKER_ST_Nashville_TN_USA
ASSAULT,5/20/2013 12:37 PM,36.156469,-86.831064,3600_BLOCK_GEORGIA_CT_Nashville_TN_USA
ASSAULT,5/20/2013 02:50 PM,36.1672212,-86.7596908,600_BLOCK_S_6TH_ST_Nashville_TN_USA
ASSAULT,5/20/2013 03:00 PM,36.165557,-86.755749,800_BLOCK_S_7TH_ST_Nashville_TN_USA
SEX CRIMES,5/20/2013 03:15 PM,36.1724217,-86.7947991,10TH_AVE_N_AND_JEFFERSON_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/20/2013 04:00 PM,36.1510288,-86.8111661,25TH_AVE_N_AND_PATTERSON_ST_Nashville_TN_USA
DRUGS/ALCOHOL VIOLATIONS,5/20/2013 04:20 PM,36.168403,-86.81724,2600_BLOCK_JEFFERSON_ST_Nashville_TN_USA
